data_ocorrencia,bairro,tipo_crime,descricao_modus_operandi,arma_utilizada,quantidade_vitimas,quantidade_suspeitos,sexo_suspeito,idade_suspeito,orgao_responsavel,ano,mes,dia,hora,minuto,segundo,dia_semana_num,dia_semana_nome,estacao
2024-08-02 19:48:16.958668,Imbiribeira,Sequestro,Golpe Telefônico,Faca,2,0,Não Informado,53,Delegacia Casa Forte,2024,8,2,19,48,16,4,Friday,Inverno
2022-10-29 19:48:16.958694,Boa Viagem,Homicídio,Fraude Online,Objeto Contundente,4,1,Não Informado,29,Delegacia Casa Forte,2022,10,29,19,48,16,5,Saturday,Primavera
2023-03-12 19:48:16.958698,Santo Amaro,Furto,Invasão Residencial,Nenhum,1,4,Feminino,65,Delegacia Casa Forte,2023,3,12,19,48,16,6,Sunday,Outono
2025-04-18 19:48:16.958700,Afogados,Roubo,Arrombamento,Nenhum,1,4,Não Informado,30,Delegacia Torre,2025,4,18,19,48,16,4,Friday,Outono
2025-06-30 19:48:16.958702,Tamarineira,Roubo,Estupro Coletivo,Arma de Fogo,3,3,Masculino,20,Delegacia Casa Forte,2025,6,30,19,48,16,0,Monday,Inverno
2024-04-19 19:48:16.958705,Torre,Ameaça,Estupro Coletivo,Nenhum,0,1,Não Informado,32,Delegacia Pina,2024,4,19,19,48,16,4,Friday,Outono
2022-11-28 19:48:16.958708,Tamarineira,Homicídio,Estelionato Bancário,Explosivos,0,4,Feminino,28,Delegacia Boa Viagem,2022,11,28,19,48,16,0,Monday,Primavera
2024-11-10 19:48:16.958710,Boa Viagem,Sequestro,Estelionato Bancário,Explosivos,1,2,Não Informado,24,Delegacia Pina,2024,11,10,19,48,16,6,Sunday,Primavera
2025-01-13 19:48:16.958717,Tamarineira,Latrocínio,Golpe Telefônico,Faca,3,2,Não Informado,14,Delegacia Afogados,2025,1,13,19,48,16,0,Monday,Verão
2025-01-25 19:48:16.958720,Torre,Tráfico de Drogas,Emboscada,Explosivos,3,3,Feminino,23,Delegacia Boa Viagem,2025,1,25,19,48,16,5,Saturday,Verão
2022-10-16 19:48:16.958722,Torre,Ameaça,Emboscada,Faca,0,0,Feminino,48,Delegacia Pina,2022,10,16,19,48,16,6,Sunday,Primavera
2024-12-10 19:48:16.958724,Boa Viagem,Furto,Estelionato Bancário,Objeto Contundente,1,4,Masculino,62,Delegacia Torre,2024,12,10,19,48,16,1,Tuesday,Verão
2024-06-06 19:48:16.958726,Tamarineira,Estupro,Estelionato Bancário,Faca,2,1,Feminino,47,Delegacia Afogados,2024,6,6,19,48,16,3,Thursday,Inverno
2025-07-30 19:48:16.958727,Tamarineira,Violência Doméstica,Invasão Residencial,Explosivos,1,4,Feminino,53,Delegacia Torre,2025,7,30,19,48,16,2,Wednesday,Inverno
2024-01-21 19:48:16.958729,Casa Forte,Homicídio,Invasão Residencial,Explosivos,3,0,Feminino,53,Delegacia Afogados,2024,1,21,19,48,16,6,Sunday,Verão
2024-12-27 19:48:16.958731,Graças,Latrocínio,Invasão Residencial,Nenhum,2,3,Não Informado,49,Delegacia Santo Amaro,2024,12,27,19,48,16,4,Friday,Verão
2024-05-27 19:48:16.958733,Boa Viagem,Violência Doméstica,Assalto a Mão Armada,Objeto Contundente,3,3,Feminino,24,Delegacia Santo Amaro,2024,5,27,19,48,16,0,Monday,Outono
2025-06-25 19:48:16.958735,Boa Viagem,Tráfico de Drogas,Assalto a Mão Armada,Explosivos,3,0,Feminino,41,Delegacia Casa Forte,2025,6,25,19,48,16,2,Wednesday,Inverno
2023-02-25 19:48:16.958737,Tamarineira,Violência Doméstica,Uso de Arma de Fogo,Arma de Fogo,3,2,Masculino,45,Delegacia Santo Amaro,2023,2,25,19,48,16,5,Saturday,Verão
2024-09-28 19:48:16.958739,Tamarineira,Furto,Emboscada,Explosivos,2,3,Masculino,47,Delegacia Pina,2024,9,28,19,48,16,5,Saturday,Primavera
2023-03-19 19:48:16.958741,Torre,Latrocínio,Fraude Online,Faca,3,3,Masculino,68,Delegacia Santo Amaro,2023,3,19,19,48,16,6,Sunday,Outono
2022-08-28 19:48:16.958743,Afogados,Estelionato,Arrombamento,Explosivos,1,4,Feminino,35,Delegacia Santo Amaro,2022,8,28,19,48,16,6,Sunday,Inverno
2023-07-28 19:48:16.958745,Imbiribeira,Ameaça,Uso de Arma de Fogo,Nenhum,0,0,Feminino,27,Delegacia Pina,2023,7,28,19,48,16,4,Friday,Inverno
2023-07-01 19:48:16.958746,Espinheiro,Furto,Fraude Online,Arma de Fogo,4,1,Não Informado,56,Delegacia Torre,2023,7,1,19,48,16,5,Saturday,Inverno
2025-03-15 19:48:16.958748,Tamarineira,Violência Doméstica,Estelionato Bancário,Faca,2,4,Feminino,18,Delegacia Afogados,2025,3,15,19,48,16,5,Saturday,Outono
2025-01-29 19:48:16.958750,Tamarineira,Homicídio,Estelionato Bancário,Objeto Contundente,3,1,Não Informado,57,Delegacia Santo Amaro,2025,1,29,19,48,16,2,Wednesday,Verão
2022-10-27 19:48:16.958752,Afogados,Furto,Crime Cibernético,Faca,1,1,Não Informado,56,Delegacia Pina,2022,10,27,19,48,16,3,Thursday,Primavera
2024-10-28 19:48:16.958754,Graças,Estupro,Estelionato Bancário,Faca,2,1,Não Informado,60,Delegacia Pina,2024,10,28,19,48,16,0,Monday,Primavera
2023-04-06 19:48:16.958755,Espinheiro,Roubo,Estelionato Bancário,Nenhum,0,1,Feminino,44,Delegacia Casa Forte,2023,4,6,19,48,16,3,Thursday,Outono
2024-11-22 19:48:16.958757,Tamarineira,Estelionato,Invasão Residencial,Objeto Contundente,1,2,Masculino,51,Delegacia Afogados,2024,11,22,19,48,16,4,Friday,Primavera
2023-09-20 19:48:16.958759,Boa Viagem,Violência Doméstica,Estelionato Bancário,Faca,4,2,Masculino,44,Delegacia Boa Viagem,2023,9,20,19,48,16,2,Wednesday,Primavera
2024-11-01 19:48:16.958761,Torre,Violência Doméstica,Crime Cibernético,Explosivos,1,0,Masculino,30,Delegacia Pina,2024,11,1,19,48,16,4,Friday,Primavera
2025-08-08 19:48:16.958762,Espinheiro,Furto,Arrombamento,Arma de Fogo,4,4,Feminino,34,Delegacia Boa Viagem,2025,8,8,19,48,16,4,Friday,Inverno
2025-05-16 19:48:16.958765,Boa Viagem,Ameaça,Invasão Residencial,Faca,4,4,Masculino,32,Delegacia Pina,2025,5,16,19,48,16,4,Friday,Outono
2023-08-15 19:48:16.958767,Espinheiro,Roubo,Invasão Residencial,Objeto Contundente,4,4,Feminino,55,Delegacia Santo Amaro,2023,8,15,19,48,16,1,Tuesday,Inverno
2025-04-17 19:48:16.958768,Pina,Ameaça,Crime Cibernético,Nenhum,1,3,Feminino,18,Delegacia Santo Amaro,2025,4,17,19,48,16,3,Thursday,Outono
2024-05-06 19:48:16.958770,Casa Forte,Latrocínio,Estelionato Bancário,Explosivos,0,3,Masculino,43,Delegacia Torre,2024,5,6,19,48,16,0,Monday,Outono
2024-05-13 19:48:16.958772,Tamarineira,Estelionato,Fraude Online,Explosivos,3,4,Masculino,55,Delegacia Pina,2024,5,13,19,48,16,0,Monday,Outono
2023-05-14 19:48:16.958774,Afogados,Homicídio,Invasão Residencial,Objeto Contundente,1,3,Não Informado,38,Delegacia Afogados,2023,5,14,19,48,16,6,Sunday,Outono
2023-05-18 19:48:16.958776,Santo Amaro,Latrocínio,Invasão Residencial,Explosivos,2,4,Masculino,34,Delegacia Boa Viagem,2023,5,18,19,48,16,3,Thursday,Outono
2025-02-16 19:48:16.958777,Boa Viagem,Ameaça,Golpe Telefônico,Nenhum,2,4,Masculino,41,Delegacia Santo Amaro,2025,2,16,19,48,16,6,Sunday,Verão
2023-07-01 19:48:16.958779,Pina,Estelionato,Uso de Arma de Fogo,Objeto Contundente,1,4,Feminino,49,Delegacia Torre,2023,7,1,19,48,16,5,Saturday,Inverno
2025-03-20 19:48:16.958781,Tamarineira,Roubo,Uso de Arma de Fogo,Arma de Fogo,3,1,Não Informado,26,Delegacia Pina,2025,3,20,19,48,16,3,Thursday,Outono
2024-08-30 19:48:16.958783,Graças,Ameaça,Assalto a Mão Armada,Arma de Fogo,0,1,Feminino,24,Delegacia Afogados,2024,8,30,19,48,16,4,Friday,Inverno
2024-11-03 19:48:16.958785,Casa Forte,Roubo,Fraude Online,Nenhum,4,2,Feminino,45,Delegacia Boa Viagem,2024,11,3,19,48,16,6,Sunday,Primavera
2025-01-06 19:48:16.958787,Espinheiro,Roubo,Golpe Telefônico,Faca,0,2,Masculino,24,Delegacia Casa Forte,2025,1,6,19,48,16,0,Monday,Verão
2023-01-03 19:48:16.958789,Afogados,Ameaça,Uso de Arma de Fogo,Explosivos,2,4,Não Informado,24,Delegacia Torre,2023,1,3,19,48,16,1,Tuesday,Verão
2024-10-25 19:48:16.958790,Casa Forte,Ameaça,Crime Cibernético,Arma de Fogo,0,2,Masculino,56,Delegacia Casa Forte,2024,10,25,19,48,16,4,Friday,Primavera
2022-11-10 19:48:16.958792,Tamarineira,Latrocínio,Estelionato Bancário,Faca,4,4,Não Informado,62,Delegacia Pina,2022,11,10,19,48,16,3,Thursday,Primavera
2024-01-28 19:48:16.958794,Torre,Latrocínio,Assalto a Mão Armada,Arma de Fogo,4,1,Masculino,39,Delegacia Afogados,2024,1,28,19,48,16,6,Sunday,Verão
2024-12-28 19:48:16.958796,Torre,Latrocínio,Golpe Telefônico,Explosivos,2,4,Não Informado,64,Delegacia Casa Forte,2024,12,28,19,48,16,5,Saturday,Verão
2024-12-17 19:48:16.958797,Pina,Violência Doméstica,Golpe Telefônico,Objeto Contundente,2,0,Feminino,58,Delegacia Torre,2024,12,17,19,48,16,1,Tuesday,Verão
2025-01-19 19:48:16.958799,Imbiribeira,Tráfico de Drogas,Estupro Coletivo,Explosivos,1,4,Masculino,34,Delegacia Pina,2025,1,19,19,48,16,6,Sunday,Verão
2023-02-15 19:48:16.958802,Tamarineira,Estelionato,Fraude Online,Explosivos,4,4,Feminino,60,Delegacia Boa Viagem,2023,2,15,19,48,16,2,Wednesday,Verão
2025-06-04 19:48:16.958803,Imbiribeira,Homicídio,Golpe Telefônico,Explosivos,3,0,Não Informado,54,Delegacia Torre,2025,6,4,19,48,16,2,Wednesday,Inverno
2023-09-02 19:48:16.958805,Santo Amaro,Estelionato,Estupro Coletivo,Arma de Fogo,0,4,Não Informado,34,Delegacia Torre,2023,9,2,19,48,16,5,Saturday,Primavera
