id_ocorrencia,data_ocorrencia,bairro,tipo_crime,descricao_modus_operandi,arma_utilizada,quantidade_vitimas,quantidade_suspeitos,sexo_suspeito,idade_suspeito,orgao_responsavel,status_investigacao,latitude,longitude
OCR100000,2024-08-02 19:48:16.958668,Imbiribeira,Sequestro,Golpe Telefônico,Faca,2,0,Não Informado,53,Delegacia Casa Forte,Concluído,-8.111355493714026,-34.94352418374921
OCR100001,2022-10-29 19:48:16.958694,Boa Viagem,Homicídio,Fraude Online,Objeto Contundente,4,1,Não Informado,29,Delegacia Casa Forte,Arquivado,-8.082012440059074,-34.861911446495355
OCR100002,2023-03-12 19:48:16.958698,Santo Amaro,Furto,Invasão Residencial,Nenhum,1,4,Feminino,65,Delegacia Casa Forte,Arquivado,-8.09691642854143,-34.89837795351092
OCR100003,2025-04-18 19:48:16.958700,Afogados,Roubo,Arrombamento,Nenhum,1,4,Não Informado,30,Delegacia Torre,Concluído,-8.135065988978317,-34.91345971546063
OCR100004,2025-06-30 19:48:16.958702,Tamarineira,Roubo,Estupro Coletivo,Arma de Fogo,3,3,Masculino,20,Delegacia Casa Forte,Concluído,-8.074124496779099,-34.933504367470896
OCR100005,2024-04-19 19:48:16.958705,Torre,Ameaça,Estupro Coletivo,Nenhum,0,1,Não Informado,32,Delegacia Pina,Em Investigação,-8.073442743415875,-34.8729660777496
OCR100006,2022-11-28 19:48:16.958708,Tamarineira,Homicídio,Estelionato Bancário,Explosivos,0,4,Feminino,28,Delegacia Boa Viagem,Em Investigação,-8.082290860688405,-34.916104493343
OCR100007,2024-11-10 19:48:16.958710,Boa Viagem,Sequestro,Estelionato Bancário,Explosivos,1,2,Não Informado,24,Delegacia Pina,Arquivado,-8.09055267221035,-34.85302325967517
OCR100008,2025-01-13 19:48:16.958717,Tamarineira,Latrocínio,Golpe Telefônico,Faca,3,2,Não Informado,14,Delegacia Afogados,Arquivado,-8.084152029914817,-34.88646584239364
OCR100009,2025-01-25 19:48:16.958720,Torre,Tráfico de Drogas,Emboscada,Explosivos,3,3,Feminino,23,Delegacia Boa Viagem,Em Investigação,-8.08679450767277,-34.87165435785513
OCR100010,2022-10-16 19:48:16.958722,Torre,Ameaça,Emboscada,Faca,0,0,Feminino,48,Delegacia Pina,Arquivado,-8.146415173142676,-34.910023741715165
OCR100011,2024-12-10 19:48:16.958724,Boa Viagem,Furto,Estelionato Bancário,Objeto Contundente,1,4,Masculino,62,Delegacia Torre,Arquivado,-8.097526691999462,-34.868516884679366
OCR100012,2024-06-06 19:48:16.958726,Tamarineira,Estupro,Estelionato Bancário,Faca,2,1,Feminino,47,Delegacia Afogados,Arquivado,-8.081419601610246,-34.87931319265543
OCR100013,2025-07-30 19:48:16.958727,Tamarineira,Violência Doméstica,Invasão Residencial,Explosivos,1,4,Feminino,53,Delegacia Torre,Concluído,-8.052261083414349,-34.879702281867125
OCR100014,2024-01-21 19:48:16.958729,Casa Forte,Homicídio,Invasão Residencial,Explosivos,3,0,Feminino,53,Delegacia Afogados,Em Investigação,-8.103189705623203,-34.862482187867315
OCR100015,2024-12-27 19:48:16.958731,Graças,Latrocínio,Invasão Residencial,Nenhum,2,3,Não Informado,49,Delegacia Santo Amaro,Em Investigação,-8.083447781814376,-34.867919363368344
